cell	feat	dist	cell_x	cell_y	x	y
0	PAPPA	0	475.5	630.6	31265.940232999998	8428.24461855
0	PAPPA	1	475.5	630.6	31164.597201499997	29538.133500300002
0	FLNC	0	475.5	630.6	31341.5178365	32832.2182197
0	FLNC	1	475.5	630.6	31569.028566400004	39162.105959500004
0	PRRC2B	1	475.5	630.6	32986.039481499996	22983.7776203
0	PAPPA	1	475.5	630.6	34250.944191400005	27072.214656599997
0	EGFR	1	475.5	630.6	34689.608001199995	10235.16258958
0	PAPPA	1	475.5	630.6	35930.2613385	36511.22270869999
0	EGFR	1	475.5	630.6	36084.9169156	21221.5453072
0	PRRC2B	1	475.5	630.6	36963.472753400005	20507.844287599997
0	FLNC	1	475.5	630.6	37687.9072805	31236.941952200003
0	EGFR	1	475.5	630.6	38429.3503234	7070.06312745
0	FYCO1	1	475.5	630.6	39757.77785869999	34242.5750031
0	FLNC	1	475.5	630.6	8423.85011208	37965.825257
0	ZKSCAN2	1	475.5	630.6	9932.143821700001	16698.96075232
0	DIEXF	1	475.5	630.6	14097.09407566	36213.3139638
0	AKAP11	1	475.5	630.6	16358.196507499999	35466.605461
0	EGFR	1	475.5	630.6	23549.7138502	11172.32106538
0	notarget004	1	475.5	630.6	2447.27219651	6309.33751639
0	notarget002	1	475.5	630.6	6804.79684216	31304.602219300003
0	RNF169	1	475.5	630.6	12845.513981799999	39593.3515625
0	THBS1	1	475.5	630.6	4681.85219436	24864.0811879
0	FBN2	1	475.5	630.6	8373.44572786	20189.872146
0	IGF2R	1	475.5	630.6	8772.62234257	33843.1512167
0	USP9X	1	475.5	630.6	13125.15837424	16707.450571399997
0	FLNA	1	475.5	630.6	13320.14884678	3981.61267402
0	TLN1	1	475.5	630.6	14415.51724418	21630.757230799998
0	THBS1	1	475.5	630.6	15126.88408975	29818.0976944
0	UBR5	1	475.5	630.6	16469.18285881	21384.419305
0	NKTR	1	475.5	630.6	17842.151126099998	10169.23616157
0	THBS1	1	475.5	630.6	18189.0068863	8294.36454953
0	THBS1	1	475.5	630.6	19767.7501037	15768.21699034
0	IGF2R	1	475.5	630.6	25215.7089063	22743.0797688
0	THBS1	1	475.5	630.6	25795.363885599996	9039.00602152
0	CBX5	1	475.5	630.6	26025.913898599996	10826.54575176
0	TNC	1	475.5	630.6	26409.092793400003	14962.45609015
0	FLNA	1	475.5	630.6	27483.353459599995	22192.410745700003
0	KIAA1462	1	475.5	630.6	28081.029442299998	7121.39293883
0	notarget001	1	475.5	630.6	29301.185767400002	8482.85069605
0	TLN1	1	475.5	630.6	30008.8258393	16157.79446843
0	MYH10	1	475.5	630.6	31186.593072099997	20709.1680982
0	TLN1	1	475.5	630.6	31960.606909900005	17320.167826599998
0	MYH10	1	475.5	630.6	32016.923368	20255.036447799997
0	DNAJC13	1	475.5	630.6	32311.8090789	34347.8291412
0	TLN1	0	475.5	630.6	32469.7877556	7884.67918928
0	FLNA	0	475.5	630.6	32883.1437174	10887.01835556
0	VCAN	1	475.5	630.6	32988.1502446	24379.2181975
0	MAN1A2	1	475.5	630.6	33767.935468799995	6312.96193242
0	TLN1	1	475.5	630.6	34496.7197948	14873.92463399
0	SPTBN1	1	475.5	630.6	34801.1137676	33382.4962958
0	PIEZO1	1	475.5	630.6	35439.524707599994	25519.677313
0	TLN1	1	475.5	630.6	35622.4434148	8565.32822352
0	TLN1	0	475.5	630.6	36091.798384400005	23762.488132700004
0	KIAA1199	1	475.5	630.6	36697.4541114	34397.8022379
0	MYH10	1	475.5	630.6	37297.3003259	9725.32515833
0	THBS1	1	475.5	630.6	1294.767261625	6871.29704376
0	IGF2R	1	475.5	630.6	3366.90875509	36203.394598
0	THBS1	1	475.5	630.6	4153.01068582	38265.0488764
0	SLC38A1	1	475.5	630.6	4731.14852857	23939.9988789
0	CBX5	1	475.5	630.6	6989.56301692	32043.908146499998
0	THBS1	1	475.5	630.6	9652.37371834	14942.68829013
0	ANKRD52	1	475.5	630.6	10111.98322926	33796.4593694
0	FBN2	1	475.5	630.6	12239.2793827	9475.4845094
0	MYH10	0	475.5	630.6	13756.32908769	19453.9726681
0	CBX5	1	475.5	630.6	13920.01545031	20583.648242900003
0	USP9X	1	475.5	630.6	15358.72476392	3316.83064879
0	DYNC1H1	1	475.5	630.6	15810.84102826	26753.416482900004
0	ROCK2	1	475.5	630.6	16918.949241100003	14429.10519083
0	THBS1	1	475.5	630.6	17648.9223232	15368.980491100001
0	FLNA	1	475.5	630.6	20808.0481302	24541.9244438
0	UBR5	1	475.5	630.6	21224.2629817	13686.551983700001
0	notarget001	1	475.5	630.6	22227.426654400002	19243.6921465
0	TLN1	1	475.5	630.6	23552.108329599996	22633.0485623
0	COL5A1	1	475.5	630.6	26399.3348164	23087.247998
0	COL5A1	1	475.5	630.6	27680.6475268	26400.604851400003
0	THBS1	1	475.5	630.6	27750.6716956	14982.68214485
0	MAN1A2	1	475.5	630.6	29208.553806599997	25033.0424526
0	THBS1	1	475.5	630.6	29576.1970755	23762.679447900002
0	TLN1	0	475.5	630.6	29863.666834099997	4707.93354795
0	TLN1	1	475.5	630.6	29951.3788246	26530.392208
0	ANKRD52	1	475.5	630.6	31151.959726999998	16529.73955546
0	THBS1	1	475.5	630.6	31290.3653357	28429.262084099995
0	SSH1	1	475.5	630.6	32365.647824799995	31681.381707499997
0	TLN1	1	475.5	630.6	33370.597813	881.1043733639999
0	THBS1	1	475.5	630.6	33732.8057329	35896.5934371
0	MYH10	0	475.5	630.6	33881.4118519	33595.7254195
0	NR4A1	1	475.5	630.6	33846.1232823	34496.700272500006
0	TLN1	1	475.5	630.6	34401.2100566	18438.036134
0	THBS1	1	475.5	630.6	34494.174982	38967.140640499994
0	TLN1	1	475.5	630.6	34698.2804281	16507.55349691
0	SSH1	1	475.5	630.6	35484.633261300005	32420.9840764
0	SPTBN1	1	475.5	630.6	36578.4200518	10138.69831946
0	TLN1	1	475.5	630.6	36258.0080068	14027.84328386
0	TLN1	1	475.5	630.6	37497.8221357	33576.7520318
0	CBX5	1	475.5	630.6	3197.12068675	33989.5233934
0	IGF2R	0	475.5	630.6	4323.13028757	36430.8744329
0	TNC	1	475.5	630.6	6706.28805116	29329.5109046
0	MAN1A2	1	475.5	630.6	7073.35351342	18373.7964277
0	IGF2R	1	475.5	630.6	10244.60925854	39703.3691585
0	FLNA	1	475.5	630.6	12458.04472841	16314.23635435
0	TLN1	1	475.5	630.6	14913.38293641	23833.511412400003
0	blank001	1	475.5	630.6	19173.6556531	4332.33747686
0	SLC38A1	1	475.5	630.6	19896.9986849	25023.6166052
0	PIEZO1	1	475.5	630.6	26358.1063574	11729.02977708
0	FLNA	1	475.5	630.6	26598.5876099	6837.99459848
0	FBN2	1	475.5	630.6	26117.1027122	5200.69184244
0	MAN1A2	1	475.5	630.6	28313.7904518	17677.6785375
0	TLN1	1	475.5	630.6	28960.898467900002	15001.62262186
0	IGF2R	1	475.5	630.6	30341.5610815	19502.709129799998
0	SLC38A1	1	475.5	630.6	30567.1964181	33305.100980799994
0	THBS1	1	475.5	630.6	31566.158938599998	34701.4903351
0	SPTBN1	1	475.5	630.6	32194.310768	24423.7381096
0	KIAA1199	1	475.5	630.6	34993.0956316	23987.6522621
0	MYH10	1	475.5	630.6	35003.426952999995	29416.431465400005
0	TLN1	1	475.5	630.6	35534.0219582	16146.88300072
