Gene	Codeword
ITGB8	00110001100000
DIEXF	11000110000000
NINL	11100000001000
WDR91	01010010100000
DOCK11	00010110100000
IGHMBP2	11000000101000
ATAD2B	00111010000000
blank010	10100010001000
VSIG10	01100001001000
FZD4	10000011100000
LOXL4	10001100001000
ZNF304	10100100100000
CDAN1	01001100100000
ARSD	10001100100000
LPPR4	01001100001000
SH3BGRL2	11000100001000
LRRK1	10110000100000
DDX26B	11011000000000
RP11-18F14.2	10101100000000
TONSL	11001100000000
ZBTB39	00001011100000
GJA3	01010100001000
SWT1	01010001100000
MDN1	10001001100000
ZNF280C	00001101001000
FAM26E	00011011000000
CDON	10100000101000
ATP10A	00101001100000
SLC30A4	01010101000000
ZSCAN20	11010001000000
ZNF813	10010001001000
SLC5A3	00000111100000
ZBTB24	10100101000000
FAM120C	00011000101000
ZFYVE26	10001101000000
LPIN3	11010000100000
RP11-496N12.9	11000010100000
CAND2	00100100101000
LSM11	10110000001000
C1orf112	01110010000000
CEP128	01000110100000
OXTR	01000100101000
SLC1A1	10000110100000
KIAA1147	10010001100000
LMTK2	01100010100000
ZNF549	11000100100000
CLTCL1	11010010000000
ANGEL1	00011100100000
CARD10	10000100101000
APOLD1	01011000001000
WDR66	11001000100000
STARD9	00011010001000
ZNF33B	11000101000000
INSR	11010100000000
RP11-958N24.2	00110110000000
MYPN	01000001101000
PRDM15	00110100100000
GPATCH1	00101001001000
GAN	00010101100000
QRICH2	10011100000000
BRCA2	11100000100000
EVC2	00011001100000
DISP1	10110010000000
ADAMTS3	00100011100000
PHLPP1	10100011000000
RUNX2	10000110001000
ERVK13-1	01110100000000
SAMD9L	00101101000000
ARSG	00001011001000
SEMA6D	00100101001000
ARHGEF3	11101000000000
UBN2	00001110100000
CERS6	00000101101000
JRK	10001010001000
DAAM2	00100011001000
ATP7B	10001000101000
ZNF783	00110101000000
ZNF470	01100100001000
AFAP1L1	10110001000000
DSP	10000001101000
CARD6	00011101000000
HSPA4L	10111000000000
SLC18A2	01010011000000
SP4	01101000001000
SCN3A	00110010001000
KRBA1	00010010101000
RP11-121C2.2	00001111000000
BIRC3	10010011000000
COL11A1	00000110101000
EPB41	01110001000000
ZSCAN22	01011100000000
KLHL25	10010100100000
PLCL2	10101001000000
PHKA1	01100010001000
TICRR	01000011100000
CBX2	10010101000000
SYT1	00011001001000
notarget005	01111000000000
blank011	10101000001000

