feat	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
HEATR5B	2.25	2.25	4.5	2.25	1.5	0.0	4.5	1.5	2.25	6.0	2.25	3.0	1.5	2.25	0.75	0.75	1.5	0.0	6.0	0.0	4.5	8.25	1.5	5.25	0.0	2.25	2.25	0.0	1.5	2.25	3.0	1.5	0.0	0.75	0.0	4.5	0.0	0.0	6.0	0.0	2.25	0.75	0.0	4.5	0.0	4.5	1.5	0.75	0.75	0.75
HELZ2	1.5	0.75	1.5	1.5	0.75	0.75	0.75	2.25	3.0	1.5	1.5	0.0	3.75	2.25	2.25	0.75	0.0	2.25	0.0	0.0	0.75	3.0	1.5	1.5	1.5	1.5	0.75	1.5	0.75	1.5	0.0	0.75	0.0	5.25	0.75	1.5	0.0	0.0	1.5	0.75	2.25	0.0	0.0	2.25	0.0	0.0	0.75	0.0	1.5	2.25
HERC2	3.75	5.25	2.25	0.0	2.25	4.5	0.75	5.25	0.0	7.5	1.5	1.5	2.25	3.75	5.25	1.5	2.25	1.5	0.0	2.25	4.5	2.25	4.5	5.25	0.75	4.5	5.25	4.5	4.5	3.0	0.75	0.75	2.25	6.75	5.25	0.0	3.75	1.5	5.25	0.0	3.75	6.75	5.25	2.25	1.5	3.75	1.5	0.0	1.5	0.0
HIVEP1	6.0	4.5	8.25	0.75	8.25	3.0	6.0	12.0	9.0	5.25	1.5	6.0	0.0	3.75	9.75	0.75	5.25	0.75	6.75	1.5	4.5	6.0	3.0	9.0	0.75	6.75	2.25	0.0	3.75	6.0	3.75	6.0	1.5	5.25	1.5	10.5	4.5	0.0	12.0	5.25	2.25	0.75	0.0	5.25	3.0	8.25	3.75	9.0	5.25	5.25
HIVEP2	3.75	2.25	2.25	2.25	4.5	3.75	1.5	6.75	9.0	1.5	0.75	0.75	4.5	6.0	5.25	0.0	3.75	0.75	3.0	0.0	3.75	8.25	0.0	2.25	4.5	0.0	2.25	0.0	0.75	4.5	1.5	6.75	1.5	6.0	0.0	7.5	4.5	0.0	15.0	2.25	5.25	0.75	0.0	1.5	1.5	3.75	1.5	0.0	4.5	1.5
IGF2R	21.0	36.75	18.0	16.5	10.5	15.75	25.5	34.5	36.75	49.5	29.25	56.25	17.25	33.75	29.25	17.25	21.75	15.75	60.0	28.5	89.25	43.5	39.0	24.0	38.25	17.25	18.75	19.5	17.25	72.0	21.0	59.25	68.25	59.25	24.75	109.5	108.75	51.0	124.5	25.5	51.0	12.0	5.25	88.5	36.75	58.5	19.5	31.5	45.75	52.5
IQGAP1	18.75	48.75	21.0	48.75	22.5	34.5	31.5	48.75	54.0	28.5	25.5	45.75	17.25	9.0	24.0	18.0	9.0	19.5	14.25	17.25	57.0	33.75	33.75	24.75	12.75	12.0	33.75	9.0	9.75	20.25	13.5	36.75	48.0	36.75	21.0	13.5	12.0	10.5	33.75	10.5	36.0	10.5	9.0	26.25	28.5	44.25	18.0	36.75	9.75	24.75
ITGA2	8.25	36.0	5.25	33.0	12.0	12.0	6.0	6.0	5.25	7.5	10.5	21.75	16.5	10.5	1.5	4.5	0.0	2.25	12.0	13.5	17.25	12.75	6.0	44.25	20.25	14.25	4.5	0.75	0.0	9.75	2.25	5.25	14.25	2.25	3.0	4.5	15.0	4.5	56.25	6.75	12.0	1.5	0.0	10.5	1.5	28.5	0.75	8.25	10.5	21.0
KIAA1147	0.75	0.0	0.0	0.75	0.75	0.75	0.75	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.75	0.75	0.0	0.0	0.75	2.25	0.0	0.75	2.25	0.0	0.0	0.75	0.0	0.0	0.0	0.75	0.75	0.0	1.5	0.0	0.75	1.5	0.0	2.25	3.75	0.0	0.0	0.0	1.5	0.0	3.75	0.75	0.0	2.25	0.75
KIAA1199	93.0	278.25	185.25	507.75	72.0	258.0	183.75	224.25	596.25	74.25	217.5	423.75	12.0	90.75	115.5	350.25	79.5	75.0	31.5	239.25	122.25	50.25	387.75	6.0	87.75	74.25	33.0	53.25	23.25	129.75	3.0	83.25	83.25	183.75	107.25	4.5	6.0	2.25	120.0	12.0	18.75	13.5	1.5	48.75	318.75	187.5	103.5	590.25	17.25	145.5
KIAA1462	12.75	18.0	24.0	34.5	40.5	36.75	21.75	8.25	12.0	30.75	21.75	10.5	30.75	19.5	29.25	30.0	27.0	6.75	9.75	33.0	21.75	13.5	6.0	56.25	12.0	15.75	19.5	3.75	23.25	18.0	19.5	36.0	20.25	22.5	15.75	21.0	12.0	1.5	43.5	23.25	42.75	23.25	21.0	36.0	13.5	54.75	9.0	11.25	27.0	32.25
KIAA2018	4.5	4.5	1.5	3.0	1.5	3.0	0.75	5.25	2.25	0.75	3.0	1.5	0.75	0.75	0.75	0.0	2.25	0.0	2.25	1.5	6.0	0.75	0.75	4.5	1.5	3.0	0.75	0.75	0.75	0.75	5.25	1.5	2.25	3.0	1.5	5.25	5.25	0.75	3.0	0.0	0.0	1.5	0.0	5.25	0.75	8.25	1.5	0.75	3.0	1.5
KIDINS220	0.75	15.75	8.25	6.75	6.0	15.75	5.25	4.5	4.5	9.0	2.25	20.25	3.75	0.75	12.0	9.75	6.0	3.75	0.75	1.5	5.25	12.0	2.25	10.5	3.75	5.25	3.75	2.25	8.25	3.75	1.5	5.25	7.5	9.75	0.75	9.0	0.75	2.25	5.25	5.25	9.75	0.0	2.25	14.25	6.0	9.0	6.75	20.25	3.0	6.0
KPNA4	2.25	3.0	2.25	2.25	3.0	6.75	2.25	2.25	6.0	5.25	0.75	8.25	4.5	1.5	6.75	0.75	3.75	2.25	3.75	2.25	5.25	5.25	1.5	4.5	0.75	3.0	2.25	0.0	1.5	2.25	2.25	4.5	4.5	0.75	0.75	0.75	0.0	0.75	8.25	0.75	7.5	4.5	1.5	6.0	1.5	6.0	6.0	6.0	0.0	4.5
LMTK2	1.5	1.5	2.25	0.0	1.5	3.75	0.75	2.25	0.75	0.0	1.5	0.75	0.0	0.75	0.0	2.25	0.75	0.75	2.25	0.0	6.0	0.75	1.5	2.25	0.0	0.0	0.0	0.0	3.75	1.5	0.75	2.25	0.0	0.75	1.5	5.25	1.5	0.0	5.25	4.5	1.5	0.0	0.0	5.25	4.5	6.0	1.5	2.25	0.0	0.0
