feat	codeword	expressed
FRY	1100000011011101	1
ZFAT	0001000111011101	1
FAN1	1101000000111101	1
SOWAHC	0010101000111101	1
RBM12B	1000011000111101	1
MCM9	0001010010111101	1
KIF14	0100001010111101	1
GPD1L	0100100001111101	1
ZMYM3	0010000011111101	1
SMCR8	1110110100000011	1
GM2A	1011101100000011	1
TTPAL	1111100010000011	1
OFD1	1010111010000011	1
LNPEP	1101001110000011	1
TSTD2	1111001001000011	1
NCOA1	0101111001000011	1
C7orf41	1101100101000011	1
DIP2A	0111010101000011	1
ZNF248	1000111101000011	1
PIGM	1100110011000011	1
FAM46A	1001101011000011	1
ZNF697	0011011011000011	1
NCOA6	1011000111000011	1
FAM212B	0001110111000011	1
CEP135	0100101111000011	1
WDR5B	1101110000100011	1
ERMP1	0101101100100011	1
ZSCAN30	1011010010100011	1
SH2D5	1110001010100011	1
ZNF275	0100111010100011	1
DIP2B	1100100110100011	1
CEP85	0110010110100011	1
UNC13B	0011001110100011	1
ALPK1	1110100001100011	1
TRAPPC9	0011100101100011	1
MTF1	1001010101100011	1
GOLGA8A	1100001101100011	1
WRN	0010110011100011	1
ZBED1	0101000111100011	1
AGTPBP1	0000011111100011	1
ZZEF1	1011011000010011	1
UBOX5	1001110100010011	1
AKAP13	1100101100010011	1
C4orf21	0110011100010011	1
RP11-159D12.9	0111001010010011	1
NOTCH1	0101100110010011	1
FAM46C	1010001110010011	1
AMPD3	0000111110010011	1
SPAST	0111100001010011	1
TBC1D12	1101010001010011	1
FGD1	0010111001010011	1
ZNF614	1010100101010011	1
FAM83G	0101001101010011	1
FAM126B	0100011011010011	1
RAP2B	1100000111010011	1
ZNF407	1010110000110011	1
UTP20	0101011000110011	1
RELN	1101000100110011	1
ORC2	0010101100110011	1
GEMIN4	1000011100110011	1
ZFP28	0110100010110011	1
IL17RA	1100010010110011	1
PAXIP1	1001001010110011	1
CNTRL	0001010110110011	1
HIVEP2	0100001110110011	1
NEDD9	1001100001110011	1
PIK3R3	0011010001110011	1
TMEM246	0110001001110011	1
FAM171A1	0100100101110011	1
blank008	0000101011110011	1
SLC24A1	0010000111110011	1
SLC7A6OS	0111100100001011	1
ZBTB34	1101010100001011	1
ULK4	0010111100001011	1
ARHGAP20	0110110010001011	1
CCDC93	0011101010001011	1
LPCAT2	1001011010001011	1
KIF7	0100011110001011	1
RAD54L2	1001110001001011	1
DHX37	1100101001001011	1
ZBTB11	0110011001001011	1
DNAH5	1110000101001011	1
ARHGEF6	0100110101001011	1
RCAN3	0001101101001011	1
DOPEY1	0101100011001011	1
FAM217B	1010001011001011	1
BCL9	0000111011001011	1
IQCE	1000100111001011	1
ALMS1	0010010111001011	1
NEK1	1110010000101011	1
CNTN3	1011001000101011	1
RFX7	0001111000101011	1
NUAK1	1001100100101011	1
NAPEPLD	0011010100101011	1
POLR3B	0110001100101011	1
B3GALTL	1000110010101011	1
HAS2	0000101110101011	1
RAP1GAP2	1101000001101011	1
CIT	0010101001101011	1
SOX11	1000011001101011	1
MTHFR	0001010011101011	1
DUSP16	0100001011101011	1
SLC9A5	1101100000011011	1
HEATR5B	0111010000011011	1
VCPIP1	1000111000011011	1
JARID2	1010010100011011	1
MEX3A	1011000010011011	1
GPR155	0001110010011011	1
ZNF526	0100101010011011	1
TAB3	0110000110011011	1
FLRT3	0001011001011011	1
ZNF436	1001000101011011	1
WDR7	0010100011011011	1
WDR81	1000010011011011	1
SLC41A2	0000001111011011	1
WDR37	0011100000111011	1
NLRX1	1001010000111011	1
BRIP1	1100001000111011	1
PHKA2	0100010100111011	1
POLR1A	0001001100111011	1
ZNF445	0101000010111011	1
UBE2O	0000011010111011	1
PTGFR	1000000110111011	1
GMEB2	1010000001111011	1
CCNF	0000110001111011	1
OTUD3	1101101000000111	1
CACNA1C	0111011000000111	1
BRPF1	1111000100000111	1
ARID2	0101110100000111	1
BLM	1010011100000111	1
PDE10A	1110010010000111	1
AGL	1011001010000111	1
TRPS1	0001111010000111	1
RASAL2	1001100110000111	1
ENDOD1	0011010110000111	1
GREM2	0110001110000111	1
ANKRD26	1011100001000111	1
NHLRC2	0110100101000111	1
ZBTB5	1100010101000111	1
GPRIN1	1001001101000111	1
TCEANC2	1101000011000111	1
notarget004	0010101011000111	1
MAGI3	1000011011000111	1
SHROOM2	0110110000100111	1
FMNL3	0011101000100111	1
TRIM62	1001011000100111	1
TNFAIP3	0100011100100111	1
HIP1R	1010100010100111	1
DCLRE1A	0101001010100111	1
DNA2	1000001110100111	1
VWA8	0101100001100111	1
PHF16	1010001001100111	1
TARBP1	0000111001100111	1
RNASEL	1000100101100111	1
DHX34	0010010101100111	1
GLTSCR1L	0011000011100111	1
UBXN2B	1010101000010111	1
PAPOLG	0010110100010111	1
WDR35	0011100010010111	1
WDR62	1001010010010111	1
blank009	1100001010010111	1
BRI3BP	0100010110010111	1
IQGAP3	0001001110010111	1
PIK3CD	1100100001010111	1
ERMAP	0110010001010111	1
PTPLAD2	0011001001010111	1
CUL9	0001100101010111	1
ANKS1A	1010000011010111	1
TRERF1	0000110011010111	1
URB2	1011000000110111	1
TMED8	0001110000110111	1
ARHGEF10L	0100101000110111	1
GPRC5B	0110000100110111	1
HSPA12A	0010001010110111	1
UHRF1BP1	0000100110110111	1
SYTL4	0010100001110111	1
ESCO1	1000010001110111	1
TULP4	0000001101110111	1
MAPKBP1	0100000011110111	1
GPAM	1011010000001111	1
ATG14	1110001000001111	1
DMXL2	0100111000001111	1
HIVEP1	1100100100001111	1
SNPH	0110010100001111	1
SSH2	0011001100001111	1
